Titre,Note,Avis,Auteur,Entreprise
Je recommande vivement,5,"Bonjour,  Je vous conseille fortement DataScientest pour ma dernière formation chez eux dans la data science, la qualité de l'accompagnement et des contenus m'a réellement permis de me familiariser en programmation (Python) et d'acquérir des compétences dans ce domaine.Le Personnel très compétent et à l'écoute qui s'adapte à chaque personne en fonction de ses besoins. Merci à toute l'équipe.",Khadidja Aoued,www.datascientest.com
Bootcamp DataAnalyst,5,Bootcamp DataAnalystUne très bonne expérience. L'autonomie dans les cours reste un plus pour moi avec des encadrant toujours présents à la moindre question. Je recommande !,Julien Petit,www.datascientest.com
"Equipe éducative à l'écoute, disponible et passionnée !",4,"Equipe éducative à l'écoute, disponible et passionnée ! La plateforme est très bien bâtie, les masterclasses sont de qualité mais surtout suivent l'actualité du secteur. Par ailleurs, outre l'aspect technique, les outils et les activités mis à disposition de l'apprenant permettent de renforcer une identité digitale mais aussi d'une intégration professionnelle complète. Merci à toute l'équipe d'être disponible et à l'écoute.",Marylis RUBRICE,www.datascientest.com
Formation solide et très pragmatique en Data Science,5,""" Une bonne formation que j'ai pu suivre correctement (car j'avais fais des MOOCs de datascience - cours théoriques et académiques - auparavant). Je retiens le côté très pragmatique et 'droit au but' avec une mise en application rapide des apprentissages, ce qui est très appréciable ! J'ai également aimé le cadencement en sprint, qui nous laisse une organisation souple mais avec des jalons clairement définis. Je pense cependant qu'il faut faire attention au discours marketing : on ne devient pas data scientist à l'issue de la formation...on acquiert de très bonnes bases en data science mais il faut continuer à s'exercer très régulièrement et approfondir sa connaissance des algorithmes et de leurs paramètres pour s'estimer un jour Data Scientist ! """,Karima Bennia,www.datascientest.com
formation de qualité,5,"formation de qualité, formateur était compétent, explications claires. On peut reprendre les cours en ligne, en vidéo des Forums d'échange, des formateurs joignables.Formation Vivement conseillée",Belot Patrick,www.datascientest.com
formation data-engineer efficace et pratique,5,"j'ai suivi une formation de data-engineer chez dataScientest, en clair, la formation est structurée et un mélange entre projet, théorie et pratique, les examens ne sont pas forcement des QCM, mais des exercices à faire dans un laps de temps.la formation est assez chargée et d'un niveau excellentje la recommande pour les personnes qui veulent s'orienter vers la data ( elle donnera les pratiques et les connaissances adéquates)  ou les personnes qui veulent se perfectionner dans le domaine de data ( machine learning, automatisation)",moustafa bendjema,www.datascientest.com
Bien,4,"Je suis actuellement le cursus de Data Analyst, l'équipe pédagogique est très sympathique et a l'écoute.Les modules de cours sont bien mais il manque quelquefois, des vidéos explicatives pour les débutants.",sandrine CHASSAGNE,www.datascientest.com
Niveau excellent,5,Le niveau est excellent et la formation riche en enseignements. On peut ensuite aborder de nombreux problèmes d'IA. Attention : il faut travailler !,Laurent Duret,www.datascientest.com
The place to be,5,"Complète, de qualité mais très exigeante.Nécessite une certaine autonomieLe ""learning by doing"" nous fait sortir de notre zone de confort, ce qui à  la fin a donné un bilan très positif.",Hary-Jo Ral,www.datascientest.com
J’ai fait la formation DataScientist en…,5,"J’ai fait la formation DataScientist en Bootcamp. Venant du monde médical sans aucune connaissance en programmation, cette formation et ce format m’ont permis en 3 mois d’acquérir les connaissances pour être datascientist.Les cours et les examens sont d’un haut niveau et ne s’obtiennent pas facilement, ce qui est preuve du sérieux de Datascientest dans la délivrance des certifications et diplômes.En plus des cours s’ajoute un accompagnement à rentrer professionnellement dans le monde de la Data, permettant ainsi une véritable reconversion professionnelle.",Fabrice BAZIN,www.datascientest.com
J'ai récemment suivi le cursus data…,5,"J'ai récemment suivi le cursus data analyst (07/23 - 03/24) proposée par Datascientest.com. La formation est complète et bien structurée, couvrant tous les aspects importants de l'analyse de données. Bien que le niveau soit élevé, les défis nombreux (examens, sprints, projet) et nécessite beaucoup de travail personnel, cela m'a aidé à progresser rapidement et à développer mes compétences en matière d'analyse de données.Les formateurs sont compétents et expérimentés (encore merci à Maria), et ils ont su créer un environnement d'apprentissage stimulant et collaboratif. Ils sont également disponibles pour répondre à toutes nos questions et nous fournir des commentaires constructifs sur nos projets.En somme, je recommande vivement cette formation data analyst à toute personne motivée souhaitant se lancer dans une carrière dans ce domaine. Bien que la formation soit exigeante,, elle est très gratifiante et offre un titre RNCP de niveau 7.",Christophe PELOSATO,www.datascientest.com
J'ai suivi la formation DataScientest…,5,"J'ai suivi la formation DataScientest en 2022 et 2023. J'ai suivi les cursus 'DataScientist' et 'Machine Learning Engineer'. Ces deux cursus sont complémentaires.La formation est complète et actualisée, et elle couvre l'ensemble des compétences nécessaires pour devenir un Data Scientist. Les formateurs sont des experts dans leur domaine, et ils sont très pédagogues.L'accompagnement personnalisé est également un point fort de la formation. J'ai eu la chance d'avoir un coach personnel pour le projet fil rouge qui nous accompagne durant tous le projet.Voici quelques éléments spécifiques que j'ai appréciés dans la formation :La qualité des formateurs : les formateurs sont des experts dans leur domaine, et ils sont passionnés par leur métier. Ils ont su me transmettre leur savoir et leur expertise.La richesse du contenu : la formation couvre un large spectre de compétences, ce qui me permet d'avoir une vision globale de la Data Science.L'accompagnement personnalisé : le coach personnel a été d'une grande aide pour me guider dans ma progression.Si vous souhaitez vous former à la Data Science, je vous recommande vivement la formation DataScientest.",Yannick Bodin,www.datascientest.com
J'ai suivi la formation Azure Sécurité,5,J'ai suivi la formation Azure Sécurité. Support de cours et labs Microsoft. Très bonne compétences du formateur toujours disponible pour nos questions. Je recommande.,eric mauduit,www.datascientest.com
Tres bon formateur - Power BI,5,"Tres bon formateur. Cours clair, supports clairs et fournis, repond aux questions (parfois tres nombreuses). intensif mais tres bien.",Florent M,www.datascientest.com
J'ai suivi la formation complète et à…,5,"J'ai suivi la formation complète et à distance de PowerBi, tout a été très bien. Le rythme est intense. Les animateurs toujours disponibles et très pédagogiques. Je recommande vivement DataScientest ! ; )",Tulituli,www.datascientest.com
J'ai fait la formation data analyst en formation continue,5,"J'ai fait la formation data analyst en formation continue.J'ai vraiment aimé l'accompagnement de l'équipe aussi bien avant de démarrer la formation : on est accompagné dans le choix du métier data qui correspond le plus à nos compétences et à nos projets professionnels, et durant la formation, on a accès à différents supports d'accompagnement (plusieurs groupes slack, le forum) où on trouve de l'aide à la fois des formateurs qui sont très présents et des co-apprenants. On ne se sent jamais seuls. J'ai aussi beaucoup aimé le contenu le contenu et la méthode d'apprentissage avec un test à la fin de chaque module, la possibilité de le repasser si on le rate, les masterclasses. J'ai aussi beaucoup aimé le projet fil rouge qui permet de mettre en application ce qu'on apprend dans une réelle mission métier.Si je devais définir Datascientest, une formation à distance mais proche de nous :)",Julie Deplanque-Lasserre,www.datascientest.com
Préparation idéale pour la certification PL-300 Power BI,5,"J'ai récemment terminé une formation en ligne avec DataScientest dans le but de préparer la certification PL-300 Power BI. Mon intérêt a été piqué par les vidéos YouTube de certains formateurs de DataScientest, et j'ai décidé de m'assurer que mes bases étaient solides avant de continuer vers la certification. La formation est dense et riche en contenu, et le formateur sait parfaitement adapter son rythme et son discours à ses interlocuteurs. Je suis très satisfait de cette expérience et recommande fortement DataScientest pour une préparation efficace à la certification PL-300.",Alexandre FOVEZ,www.datascientest.com
Formation idéale pour les passionnés de la data.,5,"J'ai suivi la formation data analyst option bootcamp chez DATASCIENTEST qui m'a permis de découvrir énormément de choses sur le monde de la data en passant par des modules bien détaillés et des professeurs disponibles qui prennent leur temps de bien expliquer toutes les notions élaborées dans chaque notebook. Personnellement je trouve le contenu le contenu de la formation très riche, intense et très riche...",MR MOUHAMADOU LAMINE POUYE,www.datascientest.com
Formation continue Data Engineer,5,"J'ai suivi le parcours Data Engineer (DE) chez  Datascientest en formation continue de Mars/2022 à Juin/2023. Je tiens à remercier l'équipe des formateurs, particulièrement le responsable de la promotion DE pour son accompagnement technique de proximité qui m'a permis de monter progressivement compétence. Les masterclass et les démonstrations d'experts de chacun des modules ont été essentiels pour la compréhension pratiques des attendus. Les projets fils rouges pour chaque parties du parcours ont été de réels atouts pour me préparer à la mise en œuvre de projets applicables en entreprise.Plus généralement, les compétences acquises lors de cette formation me permettent de travailler plus efficacement sur mon poste actuel. Je recommande vivement Datascientest.",Christophe Nzie,www.datascientest.com
Une formation autonome très bien…,5,Une formation autonome très bien construite.Il faut bosser par contre !,Ariel Assay,www.datascientest.com
Formation continu data engineer jan 22,5,"J'ai fait la formation continu de data engineer promotion jan 22, et c'était vraiment super. En effet, les cours sont très bien écrits, ils sont très ludiques et nous avons également la possibilité de poser des questions lorsqu'une notion n'est pas très bien comprise. Je recommande fortement cette formation pour les personnes qui souhaitent se spécialiser dans la data ou bien pour ceux qui souhaitent se reconvertir professionnellement.Me concernant, j'ai décidé de faire cette formation, car je voulais me réorienter vers la data qui est un domaine très prometteur et n'ayant plus codé depuis au moins quatre ans, j'avais besoin de reprendre confiance en moi et de pouvoir faire des projets qui ressemblent à ce que l'on peut retrouver en entreprise. Ainsi cette formation, m'a apporté ce que je recherchais, je me sens à l'aise et capable d'appliquer mes nouvelles compétences en entreprise.",Mme BADIBENGI Ruth,www.datascientest.com
"Formation, encadrement, disponibilité parfait !!",5,"Comme énoncé dans le titre, c'est une formation parfaite pour avoir des bases solides en Datascience grâce à un support de cours très solide.",Jonathan BIZET,www.datascientest.com
Excellente formation,5,"Excellente formation, très complète. Combinée avec de la rigueur et de la curiosité, on obtient un mélange parfait pour se lancer aisément dans le monde de la Data !",Porcu Jordan,www.datascientest.com
Quelle joie d'avoir suivi la formation…,5,"Quelle joie d'avoir suivi la formation de data scientist en format bootcamp chez DataScientest.La chance également d'être tombé sur une promo soudée !Rien de mieux pour progresser techniquement sur l'ensemble des différentes notions qu'un futur data scientist doit maîtriser.L'approche en distancielle correspondait exactement à ce que je recherchais en terme de flexibilité.Etant satisfait de cette formation, j'ai décidé par ailleurs de poursuivre chez DataScientest en suivant les formations MLops & AWS solutions architecture.DataScientist est également en partenariat avec différentes sociétés.Le service carrière dirigé par Morgane, nous accompagne dans la recherche d'un emploi, notamment en proposant des salons de recrutement durant l'année.Un GRAND merci encore à toute l'équipe de DataScientest.Jérémy",Jérémy Lavergne,www.datascientest.com
Centre de Formation Data de qualité,5,"J'ai eu de la chance d'avoir choisi Datascientest car préalablement j'ai fait une recherche et l'étude de marché fastidieuse et ce centre de formation avait tous les atouts dont j'avais besoin. Mes critères étaient : bons avis vérifiés/satisfaction des alumnis sur les sites officiels, la proposition du programme de qualité en partenariat avec les écoles prestigieuses telles que Mines Paris et Sorbonne. J'ai pu bénéficier du suivi du pôle carrière pour mettre à jour mon CV et mon profil Linkedin, les chefs de cohorte et l'équipe pédagogique étaient toujours à l'écoute. Même si l'on devait travailler en autonomie car la formation était en ligne, on était toujours accompagnés via le forum aux questions ou via la plateforme slack. Cela m'a permis de me débrouiller seule parfois ce qui n'était pas facile pour comprendre les choses moi-même mais c'est le but aussi de pouvoir trouver des réponses par nous-même car ce métier demande cette qualité en permanence. Je suis très contente de ma formation Data Engineer et je recommande vivement Datascientest.",Zhanna,www.datascientest.com
Formation très complète et pertinente…,5,Formation très complète et pertinente qui a eu un vrai impact positif dans ma vie professionnelle et lors des entretiens d’embauche.,Mathilde M,www.datascientest.com
Formation Data Analyst,5,"Mon expérience au sein de cette formation a été enrichissante à plusieurs égards. L'équipe pédagogique s'est montrée particulièrement disponible, offrant un encadrement précieux à chaque étape. Les échanges dynamiques sur les forums et la réactivité sur Slack ont créé un environnement collaboratif propice à la compréhension des sujets abordés.L'accompagnement attentif de l'équipe pédagogique a contribué à rendre mon expérience fluide et stimulante. Chaque composante de la formation est conçue pour faciliter l'apprentissage, avec une équipe qui reste à l'écoute et prête à répondre aux besoins.",Dorian Rivet,www.datascientest.com
La formation a été excellente car les…,5,La formation a été excellente car les cours sont très clairs et bien structurés. Ce qui nous a permis d'être autonome.Merci à toute l'équipe de DataScientest!,alioune,www.datascientest.com
Formation couvrant bien les objectifs annoncés et stimulante,5,"Formation motivante, qui réponds bien aux objectifs énoncés. Bon rapport théorie/ pratique. Aide et soutien apportés par l'équipe et la communauté des apprenants. Formation très stimulante.",Nathalie B,www.datascientest.com
Formations bootcamp Data Scientist et PowerBi,5,"Au mois de Mai 2024, j’ai participé à une formation courte de 5 jours sur l’outil PowerBi. Il y a d’abord 3 jours pour prendre en main l’outil et puis 2 autres jours pour approfondir et compléter la formation de base et préparer la certification PL-300. Le formateur était au top et le contenu très complet. Les 5 jours à temps complet ont été interactifs mêlant cours sur PowerBi mais aussi beaucoup d’exercices pratiques pour acquérir une autonomie.En juin 2024, j'ai commencé en mode bootcamp la formation de Data Scientist à temps plein. La formation à distance est aussi de très grande qualité : rythmée, intense, très diversifiée en termes de compétences, avec une méthode basée sur la pratique. Elle traite du machine learning et du deep learning et aborde l’aspect mise en production des modèles, MLOpsToutes les semaines est organisée une masterclass en visio . Pour le projet fil rouge, un formateur de DataScientest dédié assure un suivi et nous apporte des conseils pour le mener à bien. Tous les modules obligatoires et optionnels sont d’une grande qualité.Il y a des sessions Boosthours une fois par semaine en visio pour répondre à nos questions en direct sur des modules de cours. Et si ce n’est suffisant, il y a des data atelier pour enrichir ses connaissances.Il y a un pôle carrière pour nous aider dans notre recherche d’emploi et notre reconversion professionnelle. Le suivi peut-être individuel, et d’ailleurs j’ai été contacté directement la semaine dernière pour ma recherche d’emploi. Des ateliers dédiés sont organisés également.Cerise sur le gâteau, des ateliers de méditation ont lieu régulièrement.Et je n’ai pas parlé de la reconnaissance du diplôme par l’école des mines de Paris, de la cérémonie de remise du diplôme, des rencontres en live entre les élèves et formateurs, du suivi pédagogique, la possibilité de passer la certification AWS Cloud Practitioneretc…En résumé, je suis extrêmement satisfait  et je recommande vivement.",Thierry GONCALVES-NOVO,www.datascientest.com
Formation très variée et dynamique,5,Formation très variée et dynamique. Cela m'a permis de découvrir beaucoup de sujets et d'avoir le potentiel pour en découvrir encore plus par moi même.,LAMOTTE,www.datascientest.com
J'ai suivi la formation PL-300 Data…,5,"J'ai suivi la formation PL-300 Data Analyst auprès de l'organisme de formation DataScientest, et je suis très satisfait de cette expérience. Les professeurs sont vraiment à l'écoute et n'esquivent aucune question. Je recommande DataScientest à 100 %",Ousseini Sali,www.datascientest.com
Bonne formation,5,"J'ai suivie la formation en mode bootcamp, Data Analyst. Elle est intense et complète. J'ai été bien encadrée et soutenue.Très bonne formation!",Florence,www.datascientest.com
Formation Power BI complète par DataScientest,5,"Formation Power BI complète (bases 3j. + avancée 2j.) avec DataScientest:Formateur pédagogue et expérimenté, formation bien structurée, bons choix techniques (visio Zoom avec enregistrements vidéos, auto-learning avec Train) et bonnes perspectives pour l'après-formation.Je recommande pour toutes ces raisons cet organisme de formation!",dgey,www.datascientest.com
Bonne formation dans la globalité,4,"Bonne formation dans la globalité, avec plusieurs questions réponses Formation en distanciel avec enregistrement pour tout revoirManquerai juste un support de « cours » avec des infos principales",Lise Lucas,www.datascientest.com
De la pratique et une reconnaissance sur le marché,5,"Je suis véritablement satisfait de mon expérience de formation avec Datascientest. J'ai suivi le cursus Data Scientist, Data Product Manager et ML Ops, prochainement l'approfondissement DeepML / NLP / Computer Vision. Au-delà de certifications reconnues par l'école des Mines et RNCP, j'ai beaucoup apprécié l'aspect pratique et de pédagogie inversée. Combiné avec mon expérience pro, je me sens prêt à relever de nouveaux défis avec des outils puissants et désormais familiers!",JeanFrancoisMac,www.datascientest.com
Datascientest. L'humain au cœur de la formation,5,Un organisme de formation orienté students. Un accompagnement personnalisé et organisé pour le bon suivi du programme mais également pour préparer sa reprise d'activité en valorisant ses nouvelles compétences. Des contacts permanent avec les collaborateurs de formation. Une aide technique constante. Bref parlons pédagogie. Un campus inversé qui laisse champs libre à l'autonomie et l'organisation des apprenants. Un programme de formation de qualité et gratifiant. Des activités connexes de développement personnel sont proposés. Merci à toute l'équipe.,Xavier DEBUF,www.datascientest.com
Formation de grande qualité permettant…,4,Formation de grande qualité permettant une réelle montée en compétences.Suivi et accompagnement facilitant la prise de confiance.Le post-formation est également un vrai plus avec une communauté ‘RH’ dynamique et présente.,jean-yves BERNARD,www.datascientest.com
Formation très enrichissante,5,"J'ai suivi la formation data analyst  chez DATASCIENTEST qui m'a permis de découvrir le monde de Data. La formation est très complète avec des modules bien détaillés dès la base de programmation Phyton, SQL jusqu'à machine learning. Elle offre une combinaison unique de compétences en programmation, statistiques et analyse de données.L'option en temps partiel m'a permis de suivre la formation à mon rythme et de suivre les cours depuis n'importe où. Les examens permettent de mieux comprendre les cours et de se challenger, en plus un projet fil rouge m'a permis de mettre en pratique les connaissances acquises au fil de la formation, en travaillant sur un projet concret et significatif. Le travail sur le projet en groupe m'a aidé à renforcer mes compétences en data analyse et à développer la confiance en mes capacités à utiliser les outils et les techniques apprises dans un environnement réel.Les enseignements sont clairs et concis, les enseignants sont expérimentés et passionnés, et les exercices pratiques sont pertinents et utiles. Les points réguliers nous aide à n'est pas se sentir seule et bien éclairer les sujets difficiles. En suivant cette formation, j'ai acquis les connaissances et les compétences nécessaires pour démarrer ma carrière en tant que data analyst, je la recommande fortement.",Dubus Annette,www.datascientest.com
Très statisfait de la qualité de formation Data Scientist chez DataScientest !,5,"Je suis ravi de partager mon avis sur la formation que j'ai suivie récemment. Dans l'ensemble, je suis extrêmement satisfait de cette expérience éducative. La formation a non seulement répondu à toutes mes attentes, mais elle les a également dépassées. Tout d'abord, l’expertise des formateurs ont su transmettre leurs connaissances de manière claire et engageante. Ils étaient toujours disponibles pour répondre à nos questions et nous fournir des conseils pratiques. De plus, le contenu de la formation était très pertinent et bien structuré. Chaque module abordait des aspects clés du domaine, en allant des notions fondamentales aux sujets plus avancés. J'ai particulièrement apprécié la combinaison d'exemples concrets, d'études de cas et d'exercices pratiques. Cela m'a permis d'appliquer immédiatement les concepts appris et de renforcer ma compréhension. En ce qui concerne les ressources fournies, elles étaient abondantes et de haute qualité. Les supports de cours étaient bien organisés et faciles à suivre. Enfin, je tiens à souligner l'aspect pratique de la formation. Les activités de groupe m'ont permis d'acquérir des compétences concrètes et de les appliquer dans un contexte réel. En résumé, cette formation a été extrêmement enrichissante. Les formateurs compétents, le contenu pertinent, les ressources de qualité et l'approche pratique en ont fait une expérience d'apprentissage exceptionnelle. Je recommande vivement cette formation à tous ceux qui souhaitent approfondir leurs connaissances dans ce domaine.",Frédéric,www.datascientest.com
Bonne formation sérieuse,4,"Bonne formation sérieuse, exigeante et riche en contenu. Il faut être tout de même très autonome et organisé pour la conduire jusqu’à sa fin.",Christophe Blanchet,www.datascientest.com
La formation solution architect AWS…,4,"La formation solution architect AWS s'est déroulée sur 4 jours, on a pu voir l'ensemble des modules avec des l'ABS guidés très intéressant validant alors la partie theorique, la formation vous prépare bien a l'examen de certification.J'ai ma certification solution architect AWS en passant des examens plan fourni par datasvientest",elmzah saad,www.datascientest.com
Formation de qualité avec une très bonne équipe pédagogique,5,"Formation de qualité avec une très bonne équipe pédagogique. La formation laisse place à l'autonomie mais l'équipe est toujours présente en cas de nécessité ce qui fait que nous sommes jamais seul. Il y a un bon suivi, qui est régulier avec notamment des Masterclass et en plus de cela de nombreuses informations complémentaires concernant le métier de Datascientist sont régulièrement fournies ce qui permet d'avoir une bonne culture métier et ainsi rester informé de l'actualité et des évolutions.Je recommande vivement DataScientest qui est un organisme sérieux, que ce soit dans le cadre d'une réorientation ou bien d'une formation complémentaire.",PELLETIER David,www.datascientest.com
Formation très dense,5,"Formation très dense, j'avais heureusement déjà manipulé PowerBi donc j'ai pu poser des questions plus ciblée,le formateur est très pédagogue et à l'écoute.",Emilie,www.datascientest.com
Formation très riche et intéressante,5,Formation très riche et intéressante. L'équipe est à l'écoute et nous fait progresser. Une expérience très réussie,Esther,www.datascientest.com
Le parcours suivi en tant que data…,4,"Le parcours suivi en tant que data analyst, dans mon cas, a été essentiel pour pénétrer l'univers de la bioinformatique. À la fin du cours, tu te rends compte d'avoir acquis d'excellentes bases, mais l'ensemble du parcours est très exigeant et frustrant, car il ne s'adapte ni au rythme d'un débutant ni à un travail, même à temps partiel. Le niveau progresse rapidement en peu de temps; Il a été nécessaire de consulter du matériel supplémentaire, tant pour s'exercer que pour comprendre et assimiler différents concepts de base. C'est un défi exigeant qui demande beaucoup d'efforts, et il est essentiel de s'exercer régulièrement pour assimiler les concepts. Aurait été d'une grande aide bien sure, avoir quelques bases préalables avant de commencer. A mon avis, il n'est certainement pas compatible avec un emploi mais devrait être associé à une alternance avec une expérience pratique dans a contexte professionnel.J'ai eu la chance de pouvoir réduire drasticament, pendant un moment, mon activité professionnelle et j'ai suivi la formation dans un laboratoire de bioinformatique à Paris. Cela permet de progressivement utiliser les outils que la formation vous offre pour comprendre ce dont vous avez besoin et comment le rechercher. Car on ne peut pas tout apprendre de l'analyse de données en seulement quelques mois à partir de zéro. Ainsi, pour bénéficier au maximum de cette formation, mon conseil avant de commencer ce parcours est d'avoir des idées, aussi claires que possible, sur ce que vous souhaitez faire par la suite.",Doria FILIPPONI,www.datascientest.com
Je suis très satisfaite de la formation…,5,"Je suis très satisfaite de la formation Data Analyst que j'ai faite chez Datascientest. Le rythme de travail est intense et cela demande beaucoup d'investissement personnel, mais on ressort de la formation avec un bagage technique et une culture data qu'on peut valoriser auprès de potentiels employeurs (notamment le projet fil rouge). L'équipe est disponible et à l'écoute. Le service carrière est particulièrement dynamique et clairement un atout pour l'organisme de formation qui propose un accompagnement de qualité dans la recherche d'emploi (coaching individuel, atelier CV, préparation aux entretiens).",Lucile Piriou,www.datascientest.com
Excellente formation de Data Scientist dans l'ensemble,4,"Cette formation est excellente pour rapidement acquérir toutes les bases nécessaires à un Data Scientist. J'ai particulièrement apprécié la flexibilité donnée par la plateforme, permettant d'apprendre à son rythme, sans pression (pour ceux ayant déjà des bases en mathématiques et informatique, en tout cas). Le projet de groupe que j'ai pu choisir était également très intéressant, et la dynamique entre co-apprenants motivante. L'équipe de formation est très à l'écoute et prête à répondre aux questions, de même qu'à accompagner et aider activement ceux éprouvant quelques difficultés. Seul petit bémol pour moi, certains modules d'approfondissement manquent de clarté, et l'un d'eux ne permet même pas d'obtenir les résultats supposés. Enfin, sur une note plus personnelle, je regrette que le Deep Learning ne soit abordé presque qu'avec le framework Tensorflow (orienté applications industrielles), et qu'il y ait très peu de matière sur Pytorch (orienté recherche), car je souhaitais avec cette formation m'orienter vers la recherche appliquée en IA.",Pierre-Samuel GREAU-HAMARD,www.datascientest.com
Une formation qui se démarque des autres !,5,"J'ai démarré la formation Bootcamp Data Analyst sans aucun bagage dans la data et aujourd'hui je suis fière d'avoir acquis des compétences solides en programmation, Machine Learning, data visualisation etc. Les apprenants sont suivis quotidiennement par les équipes DataScientest dans leurs démarches d'apprentissage, de reconversion et prise de confiance. DataScientest se démarque nettement des autres formations, je recommande à 100%.",Manon Harrewyn,www.datascientest.com
Une formation très aboutie avec des encadrants réactifs et qualifiés,5,"J'ai suivi la formation DataEngineer et ai été diplômé en novembre 2022. Selon moi, Le point fort de la formation que j’ai suivie réside dans leur méthode d’apprentissage qui promeut une application pratique directe des notions en cours d’enseignement. Une plateforme avec des cours constamment mis à jour, permet d’apprendre à son rythme, tout en ayant un environnement de travail adapté, mis à disposition par les équipes de Datascientest.Le support de l’équipe technique est aussi très performant et offre rapidement des réponses pertinentes aux questions soulevées par les étudiants, soit dans un espace Slack dédié soit sur le forum technique accessible par tous les apprenants.En étant inscrit à la formation, on bénéficie à vie d'un accès au slack emploi/carrière et aux ateliers organisés tout le long de l'année sur des sujets tels que la préparation aux entretiens, la négociation de salaire, la gestion de son speech dans un contexte de reconversion professionnelle, comment lutter contre le syndrome de l'imposteur et de nombreux autres.",Simon Cariou,www.datascientest.com
Offre de formations sérieuses et…,5,"Offre de formations sérieuses et exigeantes.Les formations sont suivies de certifications reconnues.L'encadrement comprend diverses aides pour le développement et la reconversion professionnels.Au terme des formations, l'élève est directement opérationnel dans la matière.",G Filleul,www.datascientest.com
Des rendez vous annulés sans raison,1,"J'ai pris un premier rendez vous, ils ont annulé sans raison, j'ai pris un autre rendez-vous, ils ont annulé 10 mn après le début de la réunion, je suis resté 10 mn dans le meet entrain de les attendre, et puis je reçois une notification d'annulation du rendez-vous, c'est vraiment pas du tous professionnel.",Nobu-chan channel,www.datascientest.com
Une formation disposant d'une excellente plateforme mais avec un manque flagrant sur la partie théorique,3,"Une formation disposant d'une plateforme très bien construite et qui permet un rapide apprentissage du langage Python et des formateurs passionnés et intéressants. Cependant, 2 points négatifs à soulever : 1/ aucune ouverture vers les autres logiciels de statistique (R, SAS, ...) 2/ Aucun retour sur les fondements en statistique même sur les algorithmes les plus simples (ex : régression logistique) et une partie occultée totalement de la formation (plans d'expériences, ANCOVA, intégration d'effets aléatoires dans les modèles, interactions,...)",Julien Rogues,www.datascientest.com
PowerBI 3J,5,"Cours très intéressant, même en distanciel. Super prof !",Julie CORNIL,www.datascientest.com
Formation data management en 3 mois,5,"La formation en data management dispensée par Datascientest a répondu à mes attentes tant sur le contenu technique, assuré par des intervenants à l’écoute et maitrisant leur sujet, que sur le format s’appuyant sur une approche “form’action” à distance compatible avec une activité professionnelle. Toutefois, il faut s’y investir pleinement et faire preuve de persévérance pour exploiter tout le potentiel proposé. Quelques connaissances préalables de la culture data et de l’univers numérique ne sont pas indispensables mais sont un plus pour progresser encore plus rapidement.Je recommande donc cette formation à toutes celles et ceux qui souhaitent développer une expertise autour de l’évaluation, la mise en qualité et l’exploitation des données, ce qui fait partie des compétences attendues d’un data manager.",François Lyonnais,www.datascientest.com
Très bon suivi,5,"Très bon suivi, formation (Data manager) condensée et des bases solides acquises.",David Carrandie,www.datascientest.com
Globalement très bien,4,"Bravo pour le service Carrières. Bravo pour les modules de cours et les tests. Je m y retrouve bien.Le seul problème est le projet avec des mentors qui sont là ou pas, qui quand ils sont là, lisent ce qu on leur a envoyé ou pas, ... C est très decourageant.",Cécilia JOLY,www.datascientest.com
BOOTCAMP DataScientist MAI23,5,"Concernant la pédagogie (mentorat, plateforme @daniel) et l'insertion professionnelle(@diane avec notamment Morgan et Cynthia par exemple) tout est parfait : les modules sont efficaces et bien expliqués, les conseils sont adaptés à l'actualité du marché du travail. Concernant le projet fil rouge, la réussite dépend de l'équipe et de l'implication de chacun, puisque vous serez convenablement accompagné par votre mentor. Si la répartition du travail est inéquitable alors la formation sera épuisante puisque vous devriez gérer la validation des certifications et l'avancée du projet en même temps. Ce que je retiens c'est une forte réactivité et une excellent pédagogie des équipes, du mentor et du chef de cohorte. Comparé à OpenClassroom, DataScientest me parait beaucoup plus efficace et adapté à une reconversion professionnelle, notamment grâce au service Diane. Petit conseil : avoir une bonne organisation dès le départ(valider les modules de la semaine sans prendre du retard, voir prendre de l'avance) afin d'anticiper sur des éventuels imprévus lors du projet fil rouge (travail inéquitable, absence d'un ou plusieurs membres, difficultés dans l'installation de modules etc...)",Audrey,www.datascientest.com
J'ai fait une formation bootcamp,5,J'ai fait une formation bootcamp : data engineer chez datascientest.J'ai trouvé cette formation très intéressante.L'équipe de Datascientest était formidable. Leur enseignement était très enrichissant.,nathalie bellaiche,www.datascientest.com
Formation bien structurée et claire,4,Formation bien structurée et claire. exercice pratique bien conçuinteraction entre participants bonne,Thierry GARNIER,www.datascientest.com
Super centre de formation !,5,Super centre de formation !! Super équipe encadrante et administrative ou carrière !,gralban,www.datascientest.com
J'ai été très heureuse d'avoir pu…,5,J'ai été très heureuse d'avoir pu suivre chez DataScientest la formation pour obtenir le diplôme de Data Management. Cela me permet de mieux comprendre les problématiques de paramétrage des modèles de données nécessaires aux technologies utilisant les technologie de Data Science ce qui est très important pour rédiger des contrats car l'ingénierie de l'intelligence artificielle repose aussi sur des problématiques juridiques importantes qui nécessitent de bien comprendre la Data Science. Je recommande la formation et DataScientest et je continuerai d'ailleurs à me former avec eux régulièrement.,Véronique Rondeau,www.datascientest.com
