Titre,Note,Avis,Auteur,Entreprise
Pas forcément habitué des formations en…,5,Pas forcément habitué des formations en ligne j'ai assisté au cursus de Data Analyst en continu j'ai appris une quantité de choses en très peu de temps j'ai trouvé cela top!!! Le principe de l'apprentissage avec des cas réels m'a permis d'assimiler plus facilement cette masse d'information. Et que dire du projet fil rouge qui nous oblige à mettre en pratique toute notre savoir récemment acquis. En bref Datascientest c'était une belle expérience mais sûrement pas la dernière...,Olivier Lecurieux,www.datascientest.com
Programme de formation intéressant et…,5,"Programme de formation intéressant et bien adapté . Différents intervenants et masterclass tout au long de la formation. Après chaque module en liaison direct mise en place dans le projet en fil rouge. Proximité et gentillesse des différents collaborateurs (support , gestion de la formation ,). Evénements complémentaires sur la plateforme. Un must ! Vous êtes autonome et motivé à vous former ? Sautez le pas",Daedale,www.datascientest.com
Formation sur PowerBI,4,"5 jours très soutenus, très bien animés, très riches d'information. Les sessions enregistrées sont très utiles  à repasser par la suite. Vraiment la formation que je cherchais pour à la fois comprendre les concepts, les logiques, mais aussi la manipulation de l'outil à travers des exemples, des exercices. Vraiment enchanté par ce que j'ai pu apprendre et j'en fais actuellement bonne publicité au sein de mon entreprise.",RIBOULET Olivier,www.datascientest.com
Très bonne expérience,5,La formation était top. L'inscription et le personnel de DataScientest très efficaces . L'intucteur très bon. Le contenu complet + les examens blancs trop pratiques. Je recommande fortement !,Valéry Bereznyak,www.datascientest.com
Parcours Data Scientist,4,"Parcours Data Scientist suivi en format continue. Les cours sont complets et interactifs. La plateforme disponible 24/24 facilite grandement la réalisation des différents modules.La formation est exigeante et l'ajout du projet fil rouge (en plus des cours et d'un travail à temps plein à côté) rend challengeant la complétion des différents modules en temps et en heure !  Mais cela en vaut le coût. La formation permet de voir un bon panel des différentes techniques de Machine Learning et l'accès à beaucoup de contenu (session coaching, témoignages d'anciens alumnis et session boost hour) permet d'avoir une connaissance complète du domaine.Excellent encadrement également.La partie Deep Learning arrive peut-être un peu tard dans le cursus, ce qui complexifie son intégration dans le projet fil rouge.",Nicolas Mavromatis,www.datascientest.com
J'ai suivi la formation enJ'ai suivi la formation en ligne de Data Analyst,5,"J'ai suivi la formation en ligne de DataScientest et je suis très satisfait de mon expérience. Les cours sont clairs, complets et interactifs. Le tchat en direct avec les formateurs est très utile pour poser des questions et avoir des retours. Le projet continu est un vrai plus pour mettre en pratique les compétences acquises et se préparer au monde professionnel. Je recommande vivement cette école à tous ceux qui veulent se former au métier de data Analyst.",Fabien,www.datascientest.com
Formation bootcamp Data Analyst,5,"J'ai suivi la formation Data Analyst en bootcamp et je suis ravie. Le rythme de la formation est intense mais l'équipe encadrante est très présente pour nous permettre de suivre la cadence. Le contenu des cours est d'excellente qualité, la plateforme d'apprentissage est facile d'utilisation et pratique. Les différents intervenants sont pédagogues et de bon niveau. J'ai acquis avec cette formation un savoir-faire concret et découvert un univers passionnant. En outre l'encadrement du pôle carrière est un vrai plus dans la recherche d'emploi. Bref, je recommande vivement !",Perrine DA,www.datascientest.com
Formation DE format Bootcamp,5,"En formation DE format Bootcamp, j'ai apprécié la plateforme interactive (malgré quelques bugs de temps en temps) qui permet de mettre en pratique directement et facilement. Le soutien de l'équipe (technique et carrière) est un gros plus pour avoir de bons conseils. Le Forum interne m'a également bien aidé pour trouver les reponses à mes questions. Le niveau technique est abordable avec un minimum de background en informatique mais il faudra travailler beaucoup (on a rien sans rien)Heureux d'avoir fait partie de l'expérience.",Philippe,www.datascientest.com
Programme de formation intéressant et…,5,"Programme de formation intéressant et bien adapté . Différents intervenants et masterclass tout au long de la formation. Après chaque module en liaison direct mise en place dans le projet en fil rouge. Proximité et gentillesse des différents collaborateurs (support , gestion de la formation ,). Evénements complémentaires sur la plateforme. Un must ! Vous êtes autonome et motivé à vous former ? Sautez le pas",David Matheron,www.datascientest.com
Formation Powerbi avancée,4,"Je recherchais  une formation avancée sur Powerbi. En effet, je connaissais déjà bien cet outil, toutefois il me manquait quelques notions.Datascientest m'a permis donc de découvrir de nouvelles fonctionnalités. J'ai apprécié le fait que Dtascientest mette à jour régulièrement leur cours puisque les dernières nouveautés Powerbi y étaient. Le seul petit bémol est l'hétérogénéité du groupe : plusieurs avait suivi la formation de base quelques mois (ou semaines) avant sans avoir utilisé le produit, nous avons donc perdu du temps sur des notions de base.",Laurence JOUAULT,www.datascientest.com
